segment,method,date,feature
1,raw_var_cusum,1967-04-01,down
2,lsc_composite,1969-08-01,variance_quiet
2,raw_var_cusum,1968-02-01,down
3,lsc_tail_cusum,1975-09-01,exceedance_up
6,lsc_composite,1990-12-01,variance_quiet
6,lsc_tail_cusum,1992-04-01,shortfall_down
6,raw_var_cusum,1988-11-01,down
10,lsc_composite,2008-09-01,variance_pressure
10,lsc_tail_cusum,2009-08-01,exceedance_up
10,lsc_kalman_cusum,2008-09-01,
10,raw_cusum,2008-12-01,
10,raw_var_cusum,2008-09-01,up_slow
11,lsc_tail_cusum,2017-04-01,shortfall_down
12,lsc_composite,2020-04-01,variance_pressure
12,lsc_tail_cusum,2021-03-01,exceedance_up
12,lsc_kalman_cusum,2020-04-01,
12,raw_var_cusum,2019-04-01,down
