scenario,method,n,detect_rate,detect_rate_se,pre_break_false_alarm_rate,pre_break_false_alarm_rate_se,miss_rate,miss_rate_se,mean_delay_censored,mean_delay_censored_se,median_delay_detected,mean_delay_detected,mean_delay_detected_se
persistence_up_0.995,lsc_composite,500,0.034,0.008112930375552172,0.01,0.004454175497072093,0.956,0.009181317617116443,244.81616161616162,1.3145379189367419,100.0,99.05882352941177,13.3583171349613
persistence_up_0.995,lsc_kalman_cusum,500,0.042,0.008979602804860922,0.01,0.004454175497072093,0.948,0.009939294701251022,244.4808080808081,1.3816032044466107,102.0,119.9047619047619,17.34961297247822
persistence_up_0.995,lsc_state_cusum,500,0.068,0.01126969440686162,0.002,0.002,0.93,0.011421949126295709,242.37675350701403,1.4724469213456621,146.0,138.11764705882354,11.256827178250644
persistence_up_0.995,raw_cusum,500,0.16,0.016411540980502393,0.002,0.002,0.838,0.016494123566423557,232.17234468937875,2.12416408386298,133.5,138.8,6.781149411550533
persistence_up_0.995,arima_cusum,500,0.054,0.010117941761592718,0.008,0.003987957825156937,0.938,0.010795605132662119,241.82056451612902,1.6636764846056598,97.0,99.74074074074075,12.121017581678673
persistence_down_0.80,lsc_composite,500,0.014,0.005259593772650755,0.01,0.004454175497072093,0.976,0.006851414727451191,247.52929292929292,0.9751069371304452,49.0,75.28571428571429,22.810517922466303
persistence_down_0.80,lsc_kalman_cusum,500,0.006,0.003457152557758369,0.01,0.004454175497072093,0.984,0.0056170367814719555,249.1010101010101,0.6110025613227411,68.0,101.66666666666667,65.42255812111837
persistence_down_0.80,lsc_state_cusum,500,0.032,0.007878842066230875,0.002,0.002,0.966,0.008112930375552174,246.62925851703406,0.9909539513960575,136.5,144.875,17.425526056143422
persistence_down_0.80,raw_cusum,500,0.018,0.005951709476392708,0.002,0.002,0.98,0.006267260734501832,247.94188376753507,0.8864636931366662,179.0,135.88888888888889,33.37474279736285
persistence_down_0.80,arima_cusum,500,0.006,0.003457152557758369,0.008,0.003987957825156937,0.986,0.005259593772650755,248.90524193548387,0.657533189742739,35.0,69.0,37.554404979087785
