snr,scenario,method,n,detect_rate,detect_rate_se,pre_break_false_alarm_rate,pre_break_false_alarm_rate_se,miss_rate,miss_rate_se,mean_delay_censored,mean_delay_censored_se,median_delay_detected,mean_delay_detected,mean_delay_detected_se
0.1,abrupt_level_1s,lsc_state_cusum,500,0.042,0.008979602804860922,0.0,0.0,0.958,0.008979602804860922,244.718,1.2830031747008988,125.0,124.23809523809524,14.84152873044719
0.1,abrupt_level_1s,lsc_kalman_cusum,500,0.13,0.015055009352810992,0.014,0.005259593772650755,0.856,0.015716934945725784,235.51926977687626,1.9855833852738736,145.0,140.16923076923078,8.139161304800522
0.1,abrupt_level_1s,lsc_composite,500,0.08,0.012144751540478706,0.002,0.002,0.918,0.012282251724127365,241.16633266533066,1.6091789219092418,145.0,139.8,11.2278956632862
0.1,abrupt_level_1s,raw_cusum,500,0.198,0.01783895896384729,0.01,0.004454175497072093,0.792,0.018169542221229962,226.93131313131312,2.467421279267059,133.0,134.65656565656565,6.696395705411011
0.1,abrupt_level_3s,lsc_state_cusum,500,0.194,0.017701827855304598,0.0,0.0,0.806,0.017701827855304598,232.982,1.9457212066552743,178.0,162.27835051546393,6.06865330140226
0.1,abrupt_level_3s,lsc_kalman_cusum,500,0.654,0.021294951277234693,0.014,0.005259593772650755,0.332,0.0210817665712228,126.5841784989858,4.325724486425425,50.0,63.932721712538225,2.6109577248347473
0.1,abrupt_level_3s,lsc_composite,500,0.764,0.019008699622084756,0.002,0.002,0.234,0.018952741564893755,143.55711422845692,3.534917022222034,96.0,110.95549738219896,3.072055478329339
0.1,abrupt_level_3s,raw_cusum,500,0.966,0.008112930375552174,0.01,0.004454175497072093,0.024,0.00685141472745119,76.61616161616162,2.4104499513254214,58.0,72.30848861283644,2.1248124500103716
0.1,ramp_3s_hl25,lsc_state_cusum,500,0.19,0.01756180041075899,0.0,0.0,0.81,0.01756180041075899,234.116,1.8900469949941916,182.0,166.4,6.2915610305843614
0.1,ramp_3s_hl25,lsc_kalman_cusum,500,0.626,0.021660710347204473,0.028,0.007385193441226075,0.346,0.021294951277234693,143.94650205761317,4.017429787105886,75.0,85.32907348242811,2.8316675240164564
0.1,ramp_3s_hl25,lsc_composite,500,0.742,0.019586711785215868,0.004,0.002825591608118863,0.254,0.01948659680164342,157.84939759036143,3.2794512820244424,116.0,126.30458221024259,2.9741786975266744
0.1,ramp_3s_hl25,raw_cusum,500,0.928,0.011571508095282929,0.03,0.007636532803997704,0.042,0.008979602804860922,98.05154639175258,2.7055505691704944,83.0,91.17456896551724,2.3747178630772434
0.5,abrupt_level_1s,lsc_state_cusum,500,0.104,0.013665338743182763,0.002,0.002,0.894,0.01378070446788779,240.88176352705412,1.511636226187264,177.5,162.5,8.924034184363048
0.5,abrupt_level_1s,lsc_kalman_cusum,500,0.112,0.014117741364768125,0.01,0.004454175497072093,0.878,0.01465132494504475,234.76565656565657,2.21079170244218,98.5,115.33928571428571,9.779559812210042
0.5,abrupt_level_1s,lsc_composite,500,0.1,0.013429844431075358,0.01,0.004454175497072093,0.89,0.01400686919941566,236.92929292929293,2.003104086532947,115.0,120.6,9.65756550216313
0.5,abrupt_level_1s,raw_cusum,500,0.3,0.020514426225627987,0.002,0.002,0.698,0.02055326917420912,220.66933867735472,2.503185824433084,155.0,152.42666666666668,4.997980322888348
0.5,abrupt_level_3s,lsc_state_cusum,500,0.752,0.01933234282123912,0.002,0.002,0.246,0.019279819056352458,181.3567134268537,2.716440553987127,161.5,158.90159574468086,2.7477306678415245
0.5,abrupt_level_3s,lsc_kalman_cusum,500,0.554,0.022252153078595936,0.01,0.004454175497072093,0.436,0.0221989546414769,153.29090909090908,4.4075466584343905,53.0,77.18050541516246,3.804998293964492
0.5,abrupt_level_3s,lsc_composite,500,0.494,0.022381462412439424,0.01,0.004454175497072093,0.496,0.022382357781962105,168.3171717171717,4.1993758233834315,68.0,86.30364372469636,4.04903583590365
0.5,abrupt_level_3s,raw_cusum,500,0.99,0.004454175497072093,0.002,0.002,0.008,0.003987957825156938,83.14829659318637,1.8261352760203726,75.0,81.8,1.7116840200805248
0.5,ramp_3s_hl25,lsc_state_cusum,500,0.704,0.02043534209189623,0.002,0.0019999999999999996,0.294,0.02039509548493655,186.0320641282565,2.7315052598955276,166.0,159.3181818181818,2.8469386932706753
0.5,ramp_3s_hl25,lsc_kalman_cusum,500,0.462,0.022318338119870523,0.028,0.0073851934412260765,0.51,0.022378596989230864,178.65432098765433,3.9247881703384255,87.0,99.8961038961039,4.115784955371382
